timestamp,sub_region_code,subba-name,parent,parent-name,timezone,demand_mwh,value-units
2025-06-29,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,49846,megawatthours
2025-06-29,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,49893,megawatthours
2025-06-29,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,49922,megawatthours
2025-06-29,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,2635,megawatthours
2025-06-29,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,2633,megawatthours
2025-06-29,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,2631,megawatthours
2025-06-29,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,2634,megawatthours
2025-06-29,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,2635,megawatthours
2025-06-29,COAS,Coast,ERCO,"Electric Reliability Council of Texas, Inc.",Central,378304,megawatthours
2025-06-29,COAS,Coast,ERCO,"Electric Reliability Council of Texas, Inc.",Eastern,379651,megawatthours
2025-06-29,EAST,East,ERCO,"Electric Reliability Council of Texas, Inc.",Central,49963,megawatthours
2025-06-29,EAST,East,ERCO,"Electric Reliability Council of Texas, Inc.",Eastern,50132,megawatthours
2025-06-29,FWES,Far West,ERCO,"Electric Reliability Council of Texas, Inc.",Central,187950,megawatthours
2025-06-29,FWES,Far West,ERCO,"Electric Reliability Council of Texas, Inc.",Eastern,188289,megawatthours
2025-06-29,NCEN,North Central,ERCO,"Electric Reliability Council of Texas, Inc.",Central,460390,megawatthours
2025-06-29,NCEN,North Central,ERCO,"Electric Reliability Council of Texas, Inc.",Eastern,460175,megawatthours
2025-06-29,NRTH,North,ERCO,"Electric Reliability Council of Texas, Inc.",Central,53634,megawatthours
2025-06-29,NRTH,North,ERCO,"Electric Reliability Council of Texas, Inc.",Eastern,53705,megawatthours
2025-06-29,SCEN,South Central,ERCO,"Electric Reliability Council of Texas, Inc.",Central,249901,megawatthours
2025-06-29,SCEN,South Central,ERCO,"Electric Reliability Council of Texas, Inc.",Eastern,250314,megawatthours
2025-06-29,SOUT,South,ERCO,"Electric Reliability Council of Texas, Inc.",Central,107821,megawatthours
2025-06-29,SOUT,South,ERCO,"Electric Reliability Council of Texas, Inc.",Eastern,108012,megawatthours
2025-06-29,WEST,West,ERCO,"Electric Reliability Council of Texas, Inc.",Central,42141,megawatthours
2025-06-29,WEST,West,ERCO,"Electric Reliability Council of Texas, Inc.",Eastern,42155,megawatthours
2025-06-29,0001,Zone 1,MISO,"Midcontinent Independent System Operator, Inc.",Arizona,275011,megawatthours
2025-06-29,0001,Zone 1,MISO,"Midcontinent Independent System Operator, Inc.",Central,275670,megawatthours
2025-06-29,0001,Zone 1,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,276072,megawatthours
2025-06-29,0001,Zone 1,MISO,"Midcontinent Independent System Operator, Inc.",Mountain,275232,megawatthours
2025-06-29,0001,Zone 1,MISO,"Midcontinent Independent System Operator, Inc.",Pacific,275011,megawatthours
2025-06-29,0004,Zone 4,MISO,"Midcontinent Independent System Operator, Inc.",Arizona,136229,megawatthours
2025-06-29,0004,Zone 4,MISO,"Midcontinent Independent System Operator, Inc.",Central,136590,megawatthours
2025-06-29,0004,Zone 4,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,136919,megawatthours
2025-06-29,0004,Zone 4,MISO,"Midcontinent Independent System Operator, Inc.",Mountain,136376,megawatthours
2025-06-29,0004,Zone 4,MISO,"Midcontinent Independent System Operator, Inc.",Pacific,136229,megawatthours
2025-06-29,0006,Zone 6,MISO,"Midcontinent Independent System Operator, Inc.",Arizona,278370,megawatthours
2025-06-29,0006,Zone 6,MISO,"Midcontinent Independent System Operator, Inc.",Central,278100,megawatthours
2025-06-29,0006,Zone 6,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,277958,megawatthours
2025-06-29,0006,Zone 6,MISO,"Midcontinent Independent System Operator, Inc.",Mountain,278234,megawatthours
2025-06-29,0006,Zone 6,MISO,"Midcontinent Independent System Operator, Inc.",Pacific,278370,megawatthours
2025-06-29,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",Arizona,520014,megawatthours
2025-06-29,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",Central,516356,megawatthours
2025-06-29,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,514161,megawatthours
2025-06-29,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",Mountain,518226,megawatthours
2025-06-29,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",Pacific,520014,megawatthours
2025-06-29,0035,Zones 3 and 5,MISO,"Midcontinent Independent System Operator, Inc.",Arizona,276079,megawatthours
2025-06-29,0035,Zones 3 and 5,MISO,"Midcontinent Independent System Operator, Inc.",Central,276704,megawatthours
2025-06-29,0035,Zones 3 and 5,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,277117,megawatthours
2025-06-29,0035,Zones 3 and 5,MISO,"Midcontinent Independent System Operator, Inc.",Mountain,276364,megawatthours
2025-06-29,0035,Zones 3 and 5,MISO,"Midcontinent Independent System Operator, Inc.",Pacific,276079,megawatthours
2025-06-29,8910,"Zones 8, 9, and 10",MISO,"Midcontinent Independent System Operator, Inc.",Arizona,545635,megawatthours
2025-06-29,8910,"Zones 8, 9, and 10",MISO,"Midcontinent Independent System Operator, Inc.",Central,546053,megawatthours
2025-06-29,8910,"Zones 8, 9, and 10",MISO,"Midcontinent Independent System Operator, Inc.",Eastern,546218,megawatthours
2025-06-29,8910,"Zones 8, 9, and 10",MISO,"Midcontinent Independent System Operator, Inc.",Mountain,545898,megawatthours
2025-06-29,8910,"Zones 8, 9, and 10",MISO,"Midcontinent Independent System Operator, Inc.",Pacific,545635,megawatthours
2025-06-29,ZONA,West,NYIS,New York Independent System Operator,Arizona,42550,megawatthours
2025-06-29,ZONA,West,NYIS,New York Independent System Operator,Central,42453,megawatthours
2025-06-29,ZONA,West,NYIS,New York Independent System Operator,Eastern,42417,megawatthours
2025-06-29,ZONA,West,NYIS,New York Independent System Operator,Mountain,42496,megawatthours
2025-06-29,ZONA,West,NYIS,New York Independent System Operator,Pacific,42550,megawatthours
2025-06-29,ZONB,Genesee,NYIS,New York Independent System Operator,Arizona,24540,megawatthours
2025-06-29,ZONB,Genesee,NYIS,New York Independent System Operator,Central,24458,megawatthours
2025-06-29,ZONB,Genesee,NYIS,New York Independent System Operator,Eastern,24428,megawatthours
2025-06-29,ZONB,Genesee,NYIS,New York Independent System Operator,Mountain,24495,megawatthours
2025-06-29,ZONB,Genesee,NYIS,New York Independent System Operator,Pacific,24540,megawatthours
2025-06-29,ZONC,Central,NYIS,New York Independent System Operator,Arizona,37753,megawatthours
2025-06-29,ZONC,Central,NYIS,New York Independent System Operator,Central,37779,megawatthours
2025-06-29,ZONC,Central,NYIS,New York Independent System Operator,Eastern,37811,megawatthours
2025-06-29,ZONC,Central,NYIS,New York Independent System Operator,Mountain,37762,megawatthours
